DATE:,REGULAR SALES,REGULAR BUY,REGULAR SELL,REGULAR NET,MID SALES,MID BUY,MID SELL,MID NET,SUPER SALES,SUPER BUY,SUPER SELL,SUPER NET,DIESEL SALES,DIESEL BUY,DIESEL SELL,DIESEL NET,TOTAL NET,TOTAL GROSS,,,,,,,
9/1/2022,6955.826,1.57,1.70,904.26,358.466,1.67,1.81,49.45,618.249,1.77,1.95,108.13,471.403,1.77,1.93,73.02,1134.86,14588.03,,,,,,,
9/2/2022,2291.723,1.57,1.70,294.03,88.115,1.67,1.849,15.56,133.996,1.77,1.98,27.46,454.756,1.77,1.93,70.90,407.94,5199.42,,,,,,,
9/3/2022,1783.871,1.57,1.73,282.39,134.884,1.67,1.849,23.82,412.356,1.77,1.98,84.49,149.047,1.77,1.93,23.09,413.79,4437.28,,,,,,,
9/4/2022,2711.233,1.57,1.70,347.85,54.117,1.67,1.829,8.47,295.978,1.77,1.96,54.73,593.78,1.77,1.93,91.98,503.03,6430.59,,,,,,,
9/5/2022,5343.402,1.57,1.70,689.30,16.302,1.67,1.829,2.56,592.107,1.77,1.96,109.48,366.363,1.77,1.93,56.75,858.09,10974.91,,,,,,,
9/6/2022,5615.695,1.57,1.70,720.49,38.29,1.67,1.829,6.00,483.908,1.77,1.96,89.47,834.219,1.77,1.93,129.22,945.18,12168.28,,,,,,,
9/7/2022,5412.622,1.57,1.70,694.44,35.885,1.67,1.829,5.62,514.433,1.77,1.96,95.12,469.273,1.77,1.93,72.69,867.87,11174.68,,,,,,,
9/8/2022,5163.474,1.57,1.71,714.11,551.971,1.67,1.829,86.44,609.133,1.77,1.94,100.45,631.828,1.88,1.93,33.61,934.61,12233.84,,,,,,,
9/9/2022,3883.763,1.46,1.69,889.38,197.262,1.62,1.759,28.00,334.146,1.77,1.89,38.39,506.171,1.88,1.93,26.93,982.70,8514.27,,,,,,,
9/10/2022,3362.441,1.46,1.64,609.61,175.449,1.62,1.759,25.11,186.146,1.77,1.89,21.39,181.514,1.88,1.93,9.66,665.76,6521.43,,,,,,,
9/11/2022,4816.887,1.46,1.64,873.30,25.77,1.62,1.759,3.69,361.671,1.77,1.89,41.56,546.941,1.88,1.93,29.10,947.64,9678.45,,,,,,,
9/12/2022,890.008,1.46,1.64,161.36,32.982,1.62,1.759,4.72,126.964,1.77,1.89,14.59,246.274,1.88,1.93,13.10,193.77,2231.64,,,,,,,
9/13/2022,4417.152,1.46,1.61,668.32,,1.62,,0.00,276.589,1.77,1.89,31.78,519.754,1.88,1.93,27.65,727.75,8632.28,,,,,,,
9/14/2022,11649.364,1.46,1.61,1762.55,209.989,1.62,1.759,30.05,869.749,1.77,1.89,99.93,2056.684,1.88,1.93,109.42,2001.95,24723.50,,,,,,,
9/15/2022,6279.964,1.46,1.64,1138.56,21.615,1.62,1.759,3.09,654.14,1.77,1.89,75.16,988.825,1.88,1.93,52.61,1269.42,13474.00,,,,,,,
9/16/2022,3574.923,1.46,1.64,648.13,,1.62,,0.00,382.879,1.77,1.89,43.99,347.347,1.88,1.93,18.48,710.61,7252.59,,,,,,,
9/17/2022,3330.649,1.46,1.64,603.85,419.713,1.56,1.759,83.77,274.47,1.66,1.89,62.55,192.717,1.77,1.93,29.85,780.02,7087.43,,,,,,,
9/18/2022,4352.668,1.46,1.64,789.14,102.899,1.56,1.759,20.54,278.184,1.66,1.89,63.40,271.657,1.77,1.93,42.08,915.16,8364.54,,,,,,,
9/19/2022,4878.895,1.46,1.64,889.42,156.042,1.56,1.759,31.15,232.465,1.66,1.89,52.98,514.026,1.77,1.93,79.62,1053.17,9706.55,,,,,,,
9/20/2022,4911.572,1.46,1.64,890.47,27.765,1.56,1.759,5.54,317.413,1.66,1.89,72.34,354.791,1.77,1.93,54.96,1023.31,9382.89,,,,,,,
9/21/2022,6366.495,1.46,1.64,1154.25,164.101,1.56,1.759,32.75,599.62,1.66,1.89,136.65,809.885,1.77,1.93,125.45,1449.10,13418.29,,,,,,,
9/22/2022,7270.002,1.46,1.64,1318.05,108.017,1.56,1.759,21.56,937.024,1.66,1.89,213.55,1088.948,1.77,1.93,168.68,1721.84,15976.15,,,,,,,
9/23/2022,2254.842,1.46,1.64,408.80,8.99,1.56,1.759,1.79,284.973,1.66,1.89,64.95,78.062,1.77,1.93,12.09,487.63,4400.40,,,,,,,
9/24/2022,799.105,1.46,1.64,144.88,,1.56,,0.00,55.712,1.66,1.89,12.70,,1.77,,0.00,157.57,1414.97,,,,,,,
9/25/2022,2286.267,1.46,1.64,414.50,17.07,1.56,1.759,3.41,245.35,1.66,1.89,55.92,326.476,1.77,1.93,50.57,524.39,4870.46,,,,,,,
9/26/2022,4041.56,1.46,1.64,732.73,41.815,1.56,1.759,8.35,233.691,1.66,1.89,53.26,680.923,1.77,1.93,105.47,899.81,8452.61,,,,,,,
9/27/2022,5046.963,1.46,1.64,915.01,110.8,1.56,1.759,22.12,168.786,1.66,1.89,38.47,1035.128,1.77,1.93,161.38,1136.97,10783.50,,,,,,,
9/28/2022,5455.457,1.46,1.64,989.07,153.721,1.56,1.759,30.68,630.341,1.66,1.89,143.65,580.438,1.77,1.93,89.91,1253.32,11522.27,,,,,,,
9/29/2022,7057.794,1.53,1.64,769.30,199.829,1.63,1.759,26.78,687.698,1.72,1.89,116.22,464.776,1.77,1.93,73.90,986.20,14114.84,,,,,,,
9/30/2022,7276.441,1.53,1.64,793.13,62.094,1.63,1.759,8.32,743.749,1.72,1.89,125.69,282.354,1.77,1.93,44.89,972.04,13984.91,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2022,2420.934,1.53,1.64,263.88,,1.63,,0.00,34.927,1.72,1.89,5.90,348.018,1.77,1.93,55.33,325.12,4705.21,,,,,,,
10/2/2022,3464.501,1.53,1.64,377.63,45.887,1.63,1.759,6.15,626.327,1.72,1.89,105.85,344.178,1.77,1.93,54.72,544.35,7606.08,,,,,,,
10/3/2022,5420.383,1.53,1.64,590.82,81.747,1.63,1.759,10.95,310.777,1.72,1.89,52.52,744.785,1.77,1.93,118.42,772.72,11051.55,,,,,,,
10/4/2022,8046.343,1.53,1.64,877.05,114.08,1.63,1.759,15.29,452.409,1.72,1.89,76.46,435.784,1.77,1.93,69.29,1038.08,15083.85,,,,,,,
10/5/2022,6096.186,1.53,1.64,664.48,212.714,1.63,1.759,28.50,261.955,1.72,1.89,44.27,464.091,1.77,1.93,73.79,811.05,11755.88,,,,,,,
10/6/2022,6083.545,1.53,1.64,663.11,182.134,1.63,1.759,24.41,220.162,1.72,1.89,37.21,548.236,1.77,1.93,87.17,811.89,11764.74,,,,,,,
10/7/2022,7352.65,1.53,1.64,801.44,56.852,1.63,1.759,7.62,694.037,1.72,1.89,117.29,460.366,1.77,1.93,73.20,999.55,14350.08,,,,,,,
10/8/2022,3090.691,1.53,1.73,615.05,41.895,1.63,1.859,9.80,157.879,1.72,1.99,42.47,156.215,1.92,2.10,27.96,695.28,6063.60,,,,,,,
10/9/2022,1960.405,1.59,1.73,272.50,224.772,1.66,1.859,45.85,48.305,1.72,1.99,12.99,351.516,1.92,2.10,62.92,394.27,4641.30,,,,,,,
10/10/2022,2279.972,1.59,1.73,316.92,53.81,1.66,1.859,10.98,345.04,1.72,1.99,92.82,437.079,1.92,2.10,78.24,498.95,5645.82,,,,,,,
10/11/2022,5262.986,1.59,1.73,731.56,26.897,1.66,1.859,5.49,478.806,1.72,1.99,128.80,737.479,1.92,2.10,132.01,997.85,11650.02,,,,,,,
10/12/2022,4325.726,1.59,1.73,601.28,68.15,1.66,1.859,13.90,521.053,1.72,1.99,140.16,807.61,1.92,2.10,144.56,899.90,10337.42,,,,,,,
10/13/2022,5553.585,1.59,1.73,771.95,,1.66,,0.00,235.801,1.72,1.99,63.43,455.133,1.92,2.10,81.47,916.85,11026.48,,,,,,,
10/14/2022,5938.163,1.59,1.73,831.34,130.864,1.66,1.859,26.70,412.253,1.72,1.99,110.90,1077.824,1.92,2.10,192.93,1161.87,13598.62,,,,,,,
10/15/2022,3622.352,1.59,1.72,467.28,50.292,1.66,1.839,9.25,164.397,1.72,1.97,40.93,367.308,1.92,2.30,139.21,656.68,7487.45,,,,,,,
10/16/2022,3166.863,1.59,1.71,376.86,43.527,1.66,1.839,8.01,310.202,1.72,1.97,77.24,135.254,1.92,2.30,51.26,513.37,6413.95,,,,,,,
10/17/2022,4825.02,1.59,1.71,574.18,,1.66,,0.00,241.456,1.72,1.97,60.12,653.681,1.92,2.30,247.75,882.05,10224.20,,,,,,,
10/18/2022,3666.142,1.59,1.71,436.27,51.759,1.66,1.839,9.52,119.892,1.72,1.97,29.85,565.991,1.92,2.30,214.51,690.16,7897.90,,,,,,,
10/19/2022,6149.19,1.59,1.71,731.75,90.224,1.66,1.839,16.60,336.921,1.72,1.97,83.89,763.683,1.92,2.30,289.44,1121.68,13093.99,,,,,,,
10/20/2022,7815.011,1.59,1.71,937.80,212.316,1.66,1.839,39.07,457.78,1.72,1.97,113.99,688.507,1.92,2.30,260.94,1351.80,16238.36,,,,,,,
10/21/2022,9470.19,1.60,1.71,1032.25,108.774,1.70,1.839,15.66,477.502,1.79,1.97,85.47,305.954,1.92,2.30,115.96,1249.34,18028.18,,,,,,,
10/22/2022,4853.471,1.60,1.71,529.03,201.281,1.70,1.839,28.98,431.813,1.79,1.97,77.29,465.695,1.92,2.30,176.50,811.81,10585.61,,,,,,,
10/23/2022,3878.123,1.60,1.71,426.59,7.217,1.70,1.839,1.04,376.209,1.79,1.97,67.34,182.404,1.92,2.30,69.13,564.11,7804.96,,,,,,,
